0.000,0.000
0.023,0.000
0.046,0.000
0.070,0.000
0.093,0.000
0.116,0.000
0.139,0.000
0.163,0.000
0.186,0.000
0.209,0.000
0.232,0.000
0.255,0.000
0.279,0.000
0.302,0.000
0.325,0.000
0.348,0.000
0.372,0.000
0.395,0.000
0.418,0.000
0.441,0.000
0.464,0.000
0.488,0.000
0.511,0.000
0.534,0.000
0.557,0.000
0.580,0.000
0.604,0.000
0.627,0.000
0.650,0.000
0.673,0.000
0.697,0.000
0.720,0.000
0.743,0.000
0.766,0.000
0.789,0.000
0.813,0.000
0.836,0.000
0.859,0.000
0.882,0.000
0.906,0.000
0.929,0.000
0.952,0.000
0.975,0.000
0.998,0.000
1.022,0.000
1.045,0.000
1.068,0.000
1.091,0.000
1.115,0.000
1.138,0.000
1.161,0.000
1.184,0.000
1.207,0.000
1.231,0.000
1.254,0.000
1.277,0.000
1.300,0.000
1.324,0.000
1.347,0.000
1.370,0.001
1.393,0.000
1.416,0.000
1.440,0.000
1.463,0.000
1.486,0.000
1.509,0.000
1.533,0.000
1.556,0.000
1.579,0.000
1.602,0.000
1.625,0.000
1.649,0.000
1.672,0.000
1.695,0.000
1.718,0.000
1.741,0.000
1.765,0.001
1.788,0.001
1.811,0.001
1.834,0.001
1.858,0.001
1.881,0.001
1.904,0.001
1.927,0.001
1.950,0.001
1.974,0.007
1.997,0.010
2.020,0.013
2.043,0.014
2.067,0.013
2.090,0.017
2.113,0.023
2.136,0.027
2.159,0.031
2.183,0.033
2.206,0.038
2.229,0.043
2.252,0.048
2.276,0.047
2.299,0.041
2.322,0.036
2.345,0.032
2.368,0.031
2.392,0.036
2.415,0.037
2.438,0.037
2.461,0.035
2.485,0.030
2.508,0.034
2.531,0.038
2.554,0.041
2.577,0.042
2.601,0.036
2.624,0.031
2.647,0.027
2.670,0.026
2.694,0.027
2.717,0.027
2.740,0.027
2.763,0.029
2.786,0.031
2.810,0.037
2.833,0.039
2.856,0.040
2.879,0.039
2.902,0.033
2.926,0.029
2.949,0.025
2.972,0.024
2.995,0.021
3.019,0.020
3.042,0.019
3.065,0.034
3.088,0.041
3.111,0.044
3.135,0.045
3.158,0.038
3.181,0.041
3.204,0.045
3.228,0.050
3.251,0.054
3.274,0.052
3.297,0.053
3.320,0.053
3.344,0.049
3.367,0.049
3.390,0.046
3.413,0.055
3.437,0.059
3.460,0.060
3.483,0.059
3.506,0.045
3.529,0.048
3.553,0.053
3.576,0.059
3.599,0.065
3.622,0.061
3.646,0.055
3.669,0.049
3.692,0.045
3.715,0.043
3.738,0.042
3.762,0.041
3.785,0.039
3.808,0.041
3.831,0.046
3.855,0.050
3.878,0.055
3.901,0.056
3.924,0.053
3.947,0.051
3.971,0.046
3.994,0.042
4.017,0.038
4.040,0.033
4.063,0.030
4.087,0.051
4.110,0.068
4.133,0.076
4.156,0.080
4.180,0.070
4.203,0.061
4.226,0.058
4.249,0.057
4.272,0.057
4.296,0.048
4.319,0.050
4.342,0.056
4.365,0.061
4.389,0.062
4.412,0.057
4.435,0.058
4.458,0.062
4.481,0.065
4.505,0.063
4.528,0.054
4.551,0.044
4.574,0.044
4.598,0.048
4.621,0.053
4.644,0.056
4.667,0.055
4.690,0.056
4.714,0.055
4.737,0.053
4.760,0.051
4.783,0.046
4.807,0.056
4.830,0.065
4.853,0.072
4.876,0.075
4.899,0.066
4.923,0.056
4.946,0.046
4.969,0.039
4.992,0.037
5.016,0.033
5.039,0.034
5.062,0.045
5.085,0.053
5.108,0.059
5.132,0.063
5.155,0.062
5.178,0.060
5.201,0.059
5.224,0.058
5.248,0.056
5.271,0.067
5.294,0.080
5.317,0.089
5.341,0.094
5.364,0.086
5.387,0.073
5.410,0.061
5.433,0.050
5.457,0.046
5.480,0.043
5.503,0.040
5.526,0.050
5.550,0.067
5.573,0.085
5.596,0.096
5.619,0.096
5.642,0.089
5.666,0.076
5.689,0.067
5.712,0.063
5.735,0.060
5.759,0.057
5.782,0.055
5.805,0.058
5.828,0.062
5.851,0.064
5.875,0.065
5.898,0.063
5.921,0.058
5.944,0.055
5.968,0.052
5.991,0.048
6.014,0.046
6.037,0.044
6.060,0.047
6.084,0.061
6.107,0.072
6.130,0.076
6.153,0.074
6.177,0.063
6.200,0.048
6.223,0.043
6.246,0.040
6.269,0.035
6.293,0.032
6.316,0.033
6.339,0.060
6.362,0.075
6.385,0.081
6.409,0.081
6.432,0.066
6.455,0.049
6.478,0.043
6.502,0.040
6.525,0.036
6.548,0.044
6.571,0.052
6.594,0.065
6.618,0.071
6.641,0.071
6.664,0.070
6.687,0.067
6.711,0.067
6.734,0.065
6.757,0.063
6.780,0.058
6.803,0.055
6.827,0.054
6.850,0.054
6.873,0.058
6.896,0.062
6.920,0.067
6.943,0.063
6.966,0.055
6.989,0.045
7.012,0.033
7.036,0.030
7.059,0.031
7.082,0.031
7.105,0.037
7.129,0.064
7.152,0.079
7.175,0.084
7.198,0.082
7.221,0.063
7.245,0.041
7.268,0.029
7.291,0.027
7.314,0.026
7.338,0.025
7.361,0.031
7.384,0.046
7.407,0.059
7.430,0.067
7.454,0.065
7.477,0.056
7.500,0.045
7.523,0.036
7.546,0.035
7.570,0.034
7.593,0.040
7.616,0.050
7.639,0.062
7.663,0.069
7.686,0.074
7.709,0.076
7.732,0.072
7.755,0.071
7.779,0.067
7.802,0.061
7.825,0.061
7.848,0.059
7.872,0.065
7.895,0.078
7.918,0.087
7.941,0.090
7.964,0.083
7.988,0.068
8.011,0.051
8.034,0.039
8.057,0.035
8.081,0.034
8.104,0.029
8.127,0.034
8.150,0.070
8.173,0.089
8.197,0.095
8.220,0.092
8.243,0.070
8.266,0.042
8.290,0.032
8.313,0.032
8.336,0.032
8.359,0.032
8.382,0.040
8.406,0.055
8.429,0.068
8.452,0.075
8.475,0.074
8.499,0.065
8.522,0.052
8.545,0.045
8.568,0.039
8.591,0.053
8.615,0.067
8.638,0.078
8.661,0.087
8.684,0.085
8.707,0.081
8.731,0.075
8.754,0.071
8.777,0.069
8.800,0.064
8.824,0.060
8.847,0.058
8.870,0.063
8.893,0.070
8.916,0.074
8.940,0.076
8.963,0.069
8.986,0.058
