0.000 0.000 0.000
0.023 0.000 0.000
0.046 0.000 0.000
0.070 10045.239 96.899
0.093 10066.772 43.066
0.116 10077.539 32.300
0.139 9980.640 21.533
0.163 9894.507 0.000
0.186 9926.807 0.000
0.209 9969.873 0.000
0.232 9969.873 10.767
0.255 9937.573 0.000
0.279 9808.374 0.000
0.302 9786.841 0.000
0.325 9765.308 10.767
0.348 9786.841 10.767
0.372 9905.273 0.000
0.395 9926.807 0.000
0.418 9905.273 10.767
0.441 9894.507 10.767
0.464 9959.106 10.767
0.488 9959.106 10.767
0.511 9926.807 0.000
0.534 9819.141 10.767
0.557 9840.674 10.767
0.580 9937.573 10.767
0.604 9948.340 21.533
0.627 9862.207 10.767
0.650 9840.674 10.767
0.673 9894.507 10.767
0.697 9829.907 10.767
0.720 9776.074 0.000
0.743 9840.674 10.767
0.766 9872.974 10.767
0.789 9862.207 0.000
0.813 9797.607 10.767
0.836 9786.841 10.767
0.859 9765.308 0.000
0.882 9851.440 0.000
0.906 9851.440 10.767
0.929 9926.807 10.767
0.952 9872.974 0.000
0.975 9894.507 0.000
0.998 9872.974 10.767
1.022 9851.440 10.767
1.045 9819.141 0.000
1.068 9883.740 0.000
1.091 9905.273 10.767
1.115 9872.974 0.000
1.138 9797.607 10.767
1.161 9829.907 10.767
1.184 9916.040 0.000
1.207 9916.040 0.000
1.231 9808.374 0.000
1.254 9765.308 10.767
1.277 9754.541 10.767
1.300 9829.907 0.000
1.324 9733.008 0.000
1.347 9700.708 10.767
1.370 9776.074 0.000
1.393 9743.774 10.767
1.416 9776.074 0.000
1.440 9754.541 0.000
1.463 9776.074 0.000
1.486 9808.374 0.000
1.509 9733.008 0.000
1.533 9733.008 10.767
1.556 9722.241 0.000
1.579 9819.141 0.000
1.602 9851.440 10.767
1.625 9786.841 0.000
1.649 9754.541 0.000
1.672 9700.708 10.767
1.695 9743.774 10.767
1.718 9689.941 0.000
1.741 9711.475 10.767
1.765 9700.708 10.767
1.788 9593.042 10.767
1.811 9603.809 10.767
1.834 9593.042 0.000
1.858 9646.875 10.767
1.881 9539.209 0.000
1.904 9517.676 10.767
1.927 9485.376 10.767
1.950 9496.143 0.000
1.974 8774.780 10.767
1.997 5770.898 64.600
2.020 4715.771 64.600
2.043 5146.436 43.066
2.067 6007.764 43.066
2.090 6492.261 43.066
2.113 4683.472 53.833
2.136 4392.773 86.133
2.159 4403.540 75.366
2.183 4338.940 86.133
2.206 4382.007 53.833
2.229 4188.208 75.366
2.252 4155.908 75.366
2.276 4166.675 86.133
2.299 4683.472 75.366
2.322 5544.800 64.600
2.345 5017.236 64.600
2.368 4382.007 53.833
2.392 3994.409 53.833
2.415 3940.576 75.366
2.438 4403.540 75.366
2.461 4468.140 64.600
2.485 4242.041 43.066
2.508 4414.307 53.833
2.531 4274.341 96.899
2.554 4812.671 86.133
2.577 4629.639 86.133
2.601 4177.441 53.833
2.624 4177.441 53.833
2.647 4059.009 64.600
2.670 3703.711 86.133
2.694 3639.111 64.600
2.717 3596.045 64.600
2.740 3574.512 64.600
2.763 3649.878 64.600
2.786 3811.377 64.600
2.810 3692.944 64.600
2.833 3294.580 75.366
2.856 3477.612 86.133
2.879 3703.711 107.666
2.902 3736.011 107.666
2.926 3585.278 75.366
2.949 3111.548 64.600
2.972 2616.284 53.833
2.995 2885.449 53.833
3.019 3951.343 64.600
3.042 5577.100 43.066
3.065 5318.701 64.600
3.088 4715.771 86.133
3.111 4694.238 75.366
3.135 4694.238 75.366
3.158 5307.935 75.366
3.181 5490.967 75.366
3.204 5286.401 96.899
3.228 5017.236 96.899
3.251 4737.305 96.899
3.274 4737.305 96.899
3.297 5275.635 86.133
3.320 5286.401 75.366
3.344 5264.868 86.133
3.367 6298.462 86.133
3.390 6686.060 86.133
3.413 5523.267 75.366
3.437 5286.401 75.366
3.460 5124.902 86.133
3.483 5275.635 96.899
3.506 5286.401 86.133
3.529 5264.868 86.133
3.553 5297.168 75.366
3.576 5307.935 64.600
3.599 5264.868 75.366
3.622 4608.105 86.133
3.646 4166.675 64.600
3.669 4080.542 53.833
3.692 3919.043 53.833
3.715 3886.743 53.833
3.738 3703.711 53.833
3.762 3725.244 43.066
3.785 3929.810 64.600
3.808 3929.810 64.600
3.831 3746.777 64.600
3.855 3509.912 64.600
3.878 3596.045 64.600
3.901 3639.111 64.600
3.924 3585.278 64.600
3.947 3520.679 64.600
3.971 3423.779 75.366
3.994 3499.146 75.366
4.017 3682.178 64.600
4.040 4489.673 53.833
4.063 6093.896 53.833
4.087 5663.232 64.600
4.110 4920.337 75.366
4.133 4758.838 86.133
4.156 4877.271 86.133
4.180 4941.870 86.133
4.203 5049.536 86.133
4.226 4974.170 86.133
4.249 4920.337 86.133
